date,title,content,event_type,Sentiment,symbol,Sector,Impact_Level,computed_sentiment,summary,prompt_chain_summary,route
2025-07-31,nan,nan,Cryptocurrency Regulation,Negative,ExxonMobil,Utilities,Low,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-07-25,Nikkei 225 index benefits from a weaker yen,Nikkei 225 index benefits from a weaker yen,Bond Market Fluctuation,,ExxonMobil,Healthcare,High,0.0,Nikkei 225 index benefits from a weaker yen,"Headline: Nikkei 225 index benefits from a weaker yen | Key points: nikkei, index, benefits, from, weaker | Sentiment: neutral",General
2025-06-02,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Geopolitical Event,Negative,Reliance Industries,Utilities,Low,0.06818181818181818,Tech Giant's New Product Launch Sparks Sector-Wide Gains,"Headline: Tech Giant's New Product Launch Sparks Sector-Wide Gains | Key points: tech, giant, product, launch, sparks | Sentiment: positive",Innovation
2025-07-05,Massive stock buyback program announced by a consumer goods company,Massive stock buyback program announced by a consumer goods company,Interest Rate Change,Negative,Tata Motors,Energy,High,0.0,Massive stock buyback program announced by a consumer goods company,"Headline: Massive stock buyback program announced by a consumer goods company | Key points: massive, stock, buyback, program, announced | Sentiment: neutral",General
2025-06-04,"Global trade talks collapse, causing market turmoil","Global trade talks collapse, causing market turmoil",Inflation Data Release,Positive,Apple Inc.,Automotive,Medium,0.0,"Global trade talks collapse, causing market turmoil","Headline: Global trade talks collapse, causing market turmoil | Key points: global, trade, talks, collapse, causing | Sentiment: neutral",General
2025-04-01,Merger talks between two banks fall through,Merger talks between two banks fall through,Consumer Confidence Report,Negative,Apple Inc.,Technology,High,0.0,Merger talks between two banks fall through,"Headline: Merger talks between two banks fall through | Key points: merger, talks, between, banks, fall | Sentiment: neutral",M&A
2025-02-14,Federal Reserve Chairman's speech causes market volatility,Federal Reserve Chairman's speech causes market volatility,Inflation Data Release,Neutral,Goldman Sachs,Real Estate,Medium,0.0,Federal Reserve Chairman's speech causes market volatility,"Headline: Federal Reserve Chairman's speech causes market volatility | Key points: federal, reserve, chairman, speech, causes | Sentiment: neutral",Macro
2025-06-01,Market sentiment turns positive on vaccine trial results,Market sentiment turns positive on vaccine trial results,Cryptocurrency Regulation,Neutral,Goldman Sachs,Healthcare,Low,0.22727272727272727,Market sentiment turns positive on vaccine trial results,"Headline: Market sentiment turns positive on vaccine trial results | Key points: market, sentiment, turns, positive, vaccine | Sentiment: positive",General
2025-04-24,Government policy shift boosts renewable energy sector,Government policy shift boosts renewable energy sector,Major Merger/Acquisition,Neutral,JP Morgan Chase,Utilities,Low,0.0,Government policy shift boosts renewable energy sector,"Headline: Government policy shift boosts renewable energy sector | Key points: government, policy, shift, boosts, renewable | Sentiment: neutral",General
2025-06-28,Supply chain issues impact manufacturing sector earnings,Supply chain issues impact manufacturing sector earnings,Bond Market Fluctuation,Positive,Tata Motors,Healthcare,High,0.0,Supply chain issues impact manufacturing sector earnings,"Headline: Supply chain issues impact manufacturing sector earnings | Key points: supply, chain, issues, impact, manufacturing | Sentiment: neutral",Earnings
2025-07-19,Quarterly report shows surprising losses for retail giants,Quarterly report shows surprising losses for retail giants,Major Merger/Acquisition,Positive,Apple Inc.,Aerospace & Defense,Low,0.7,Quarterly report shows surprising losses for retail giants,"Headline: Quarterly report shows surprising losses for retail giants | Key points: quarterly, report, shows, surprising, losses | Sentiment: positive",Innovation
2025-05-23,Central Bank's dovish tone hints at future rate cuts,Central Bank's dovish tone hints at future rate cuts,Cryptocurrency Regulation,Positive,ExxonMobil,Retail,Low,0.0,Central Bank's dovish tone hints at future rate cuts,"Headline: Central Bank's dovish tone hints at future rate cuts | Key points: central, bank, dovish, tone, hints | Sentiment: neutral",Macro
2025-03-08,Nikkei 225 index benefits from a weaker yen,Nikkei 225 index benefits from a weaker yen,Stock Market Crash,Positive,JP Morgan Chase,Healthcare,Low,0.0,Nikkei 225 index benefits from a weaker yen,"Headline: Nikkei 225 index benefits from a weaker yen | Key points: nikkei, index, benefits, from, weaker | Sentiment: neutral",General
2025-07-04,ASX 200 gains on strong export performance,ASX 200 gains on strong export performance,Market Rally,Positive,Tesla,Media & Entertainment,Low,0.43333333333333335,ASX 200 gains on strong export performance,"Headline: ASX 200 gains on strong export performance | Key points: gains, strong, export, performance | Sentiment: positive",Innovation
2025-05-20,Massive stock buyback program announced by a consumer goods company,Massive stock buyback program announced by a consumer goods company,Currency Devaluation,Neutral,Reliance Industries,Energy,Low,0.0,Massive stock buyback program announced by a consumer goods company,"Headline: Massive stock buyback program announced by a consumer goods company | Key points: massive, stock, buyback, program, announced | Sentiment: neutral",General
2025-03-25,Banking stocks dip after a major scandal is revealed,Banking stocks dip after a major scandal is revealed,Government Policy Announcement,Positive,Apple Inc.,Construction,Medium,0.0625,Banking stocks dip after a major scandal is revealed,"Headline: Banking stocks dip after a major scandal is revealed | Key points: banking, stocks, after, major, scandal | Sentiment: positive",Macro
2025-06-01,A massive data breach sends a tech company's stock tumbling,A massive data breach sends a tech company's stock tumbling,Unemployment Rate Announcement,Neutral,Boeing,Retail,Low,0.0,A massive data breach sends a tech company's stock tumbling,"Headline: A massive data breach sends a tech company's stock tumbling | Key points: massive, data, breach, sends, tech | Sentiment: neutral",Innovation
2025-07-13,Energy company's dividend hike excites shareholders,Energy company's dividend hike excites shareholders,Cryptocurrency Regulation,Positive,JP Morgan Chase,Technology,Low,0.0,Energy company's dividend hike excites shareholders,"Headline: Energy company's dividend hike excites shareholders | Key points: energy, company, dividend, hike, excites | Sentiment: neutral",General
2025-04-18,Dow Jones plunges as market fears recession,Dow Jones plunges as market fears recession,Unemployment Rate Announcement,,JP Morgan Chase,Finance,High,0.0,Dow Jones plunges as market fears recession,"Headline: Dow Jones plunges as market fears recession | Key points: jones, plunges, market, fears, recession | Sentiment: neutral",General
2025-03-19,nan,nan,Economic Data Release,,Tata Motors,Aerospace & Defense,Medium,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-07-30,Unexpected rise in unemployment fuels market pessimism,Unexpected rise in unemployment fuels market pessimism,Cryptocurrency Regulation,,ExxonMobil,Media & Entertainment,Low,0.1,Unexpected rise in unemployment fuels market pessimism,"Headline: Unexpected rise in unemployment fuels market pessimism | Key points: unexpected, rise, unemployment, fuels, market | Sentiment: positive",General
2025-03-25,Major oil spill sends energy stocks plummeting,Major oil spill sends energy stocks plummeting,Commodity Price Shock,Positive,Boeing,Industrials,High,0.0625,Major oil spill sends energy stocks plummeting,"Headline: Major oil spill sends energy stocks plummeting | Key points: major, spill, sends, energy, stocks | Sentiment: positive",General
2025-03-03,ASX 200 gains on strong export performance,ASX 200 gains on strong export performance,Inflation Data Release,Negative,Samsung Electronics,Retail,Low,0.43333333333333335,ASX 200 gains on strong export performance,"Headline: ASX 200 gains on strong export performance | Key points: gains, strong, export, performance | Sentiment: positive",Innovation
2025-05-13,New regulations on cryptocurrencies cause a market dip,New regulations on cryptocurrencies cause a market dip,Geopolitical Event,Negative,Apple Inc.,Real Estate,Low,0.13636363636363635,New regulations on cryptocurrencies cause a market dip,"Headline: New regulations on cryptocurrencies cause a market dip | Key points: regulations, cryptocurrencies, cause, market | Sentiment: positive",General
2025-04-18,nan,nan,Geopolitical Event,Neutral,Boeing,Construction,Medium,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-04-09,Automotive industry faces headwinds from rising material costs,Automotive industry faces headwinds from rising material costs,Central Bank Meeting,Neutral,Microsoft,Agriculture,Low,0.0,Automotive industry faces headwinds from rising material costs,"Headline: Automotive industry faces headwinds from rising material costs | Key points: automotive, industry, faces, headwinds, from | Sentiment: neutral",General
2025-06-27,A massive data breach sends a tech company's stock tumbling,A massive data breach sends a tech company's stock tumbling,Interest Rate Change,Negative,JP Morgan Chase,Technology,High,0.0,A massive data breach sends a tech company's stock tumbling,"Headline: A massive data breach sends a tech company's stock tumbling | Key points: massive, data, breach, sends, tech | Sentiment: neutral",Innovation
2025-05-28,Central Bank's dovish tone hints at future rate cuts,Central Bank's dovish tone hints at future rate cuts,Unemployment Rate Announcement,Negative,Samsung Electronics,Technology,Medium,0.0,Central Bank's dovish tone hints at future rate cuts,"Headline: Central Bank's dovish tone hints at future rate cuts | Key points: central, bank, dovish, tone, hints | Sentiment: neutral",Macro
2025-06-05,Federal Reserve Chairman's speech causes market volatility,Federal Reserve Chairman's speech causes market volatility,Currency Devaluation,Negative,Tesla,Telecommunications,Medium,0.0,Federal Reserve Chairman's speech causes market volatility,"Headline: Federal Reserve Chairman's speech causes market volatility | Key points: federal, reserve, chairman, speech, causes | Sentiment: neutral",Macro
2025-02-18,Major oil spill sends energy stocks plummeting,Major oil spill sends energy stocks plummeting,Central Bank Meeting,Positive,Microsoft,Industrials,Low,0.0625,Major oil spill sends energy stocks plummeting,"Headline: Major oil spill sends energy stocks plummeting | Key points: major, spill, sends, energy, stocks | Sentiment: positive",General
2025-06-24,Healthcare stocks gain on robust demand and strong outlook,Healthcare stocks gain on robust demand and strong outlook,Consumer Confidence Report,Neutral,ExxonMobil,Materials,Medium,0.43333333333333335,Healthcare stocks gain on robust demand and strong outlook,"Headline: Healthcare stocks gain on robust demand and strong outlook | Key points: healthcare, stocks, gain, robust, demand | Sentiment: positive",Innovation
2025-08-02,Merger talks between two banks fall through,Merger talks between two banks fall through,Currency Devaluation,Positive,Boeing,Transportation,Low,0.0,Merger talks between two banks fall through,"Headline: Merger talks between two banks fall through | Key points: merger, talks, between, banks, fall | Sentiment: neutral",M&A
2025-03-29,Market sentiment turns positive on vaccine trial results,Market sentiment turns positive on vaccine trial results,Bond Market Fluctuation,Positive,Boeing,Technology,Medium,0.22727272727272727,Market sentiment turns positive on vaccine trial results,"Headline: Market sentiment turns positive on vaccine trial results | Key points: market, sentiment, turns, positive, vaccine | Sentiment: positive",General
2025-02-23,Healthcare stocks gain on robust demand and strong outlook,Healthcare stocks gain on robust demand and strong outlook,Consumer Confidence Report,Neutral,Microsoft,Energy,Medium,0.43333333333333335,Healthcare stocks gain on robust demand and strong outlook,"Headline: Healthcare stocks gain on robust demand and strong outlook | Key points: healthcare, stocks, gain, robust, demand | Sentiment: positive",Innovation
2025-05-26,"Global trade talks collapse, causing market turmoil","Global trade talks collapse, causing market turmoil",Currency Devaluation,Negative,Boeing,Retail,Low,0.0,"Global trade talks collapse, causing market turmoil","Headline: Global trade talks collapse, causing market turmoil | Key points: global, trade, talks, collapse, causing | Sentiment: neutral",General
2025-05-15,New housing data release shows a slowdown in market activity,New housing data release shows a slowdown in market activity,Regulatory Changes,Neutral,Boeing,Technology,High,0.13636363636363635,New housing data release shows a slowdown in market activity,"Headline: New housing data release shows a slowdown in market activity | Key points: housing, data, release, shows, slowdown | Sentiment: positive",General
2025-06-12,Gold prices surge as investors flee riskier assets,Gold prices surge as investors flee riskier assets,Corporate Earnings Report,Negative,Samsung Electronics,Transportation,High,0.0,Gold prices surge as investors flee riskier assets,"Headline: Gold prices surge as investors flee riskier assets | Key points: gold, prices, surge, investors, flee | Sentiment: neutral",General
2025-07-31,Consumer Discretionary stocks outperform as spending increases,Consumer Discretionary stocks outperform as spending increases,Commodity Price Shock,,Boeing,Real Estate,High,0.0,Consumer Discretionary stocks outperform as spending increases,"Headline: Consumer Discretionary stocks outperform as spending increases | Key points: consumer, discretionary, stocks, outperform, spending | Sentiment: neutral",General
2025-08-04,Real Estate sector shows signs of overheating as interest rates fall,Real Estate sector shows signs of overheating as interest rates fall,Government Policy Announcement,Neutral,Microsoft,Aerospace & Defense,Low,0.2,Real Estate sector shows signs of overheating as interest rates fall,"Headline: Real Estate sector shows signs of overheating as interest rates fall | Key points: real, estate, sector, shows, signs | Sentiment: positive",Macro
2025-04-05,Mining company stock surges on commodity price boom,Mining company stock surges on commodity price boom,Consumer Confidence Report,,Reliance Industries,Consumer Goods,High,0.0,Mining company stock surges on commodity price boom,"Headline: Mining company stock surges on commodity price boom | Key points: mining, company, stock, surges, commodity | Sentiment: neutral",General
2025-04-19,New housing data release shows a slowdown in market activity,New housing data release shows a slowdown in market activity,Government Policy Announcement,Neutral,ExxonMobil,Technology,Low,0.13636363636363635,New housing data release shows a slowdown in market activity,"Headline: New housing data release shows a slowdown in market activity | Key points: housing, data, release, shows, slowdown | Sentiment: positive",General
2025-07-07,ASX 200 gains on strong export performance,ASX 200 gains on strong export performance,Unemployment Rate Announcement,Negative,ExxonMobil,Real Estate,Low,0.43333333333333335,ASX 200 gains on strong export performance,"Headline: ASX 200 gains on strong export performance | Key points: gains, strong, export, performance | Sentiment: positive",Innovation
2025-02-19,New regulations on cryptocurrencies cause a market dip,New regulations on cryptocurrencies cause a market dip,IPO Launch,Neutral,Microsoft,Pharmaceuticals,Low,0.13636363636363635,New regulations on cryptocurrencies cause a market dip,"Headline: New regulations on cryptocurrencies cause a market dip | Key points: regulations, cryptocurrencies, cause, market | Sentiment: positive",General
2025-07-28,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Economic Data Release,Negative,Apple Inc.,Consumer Goods,Medium,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-08-08,Government spending bill is expected to stimulate the economy,Government spending bill is expected to stimulate the economy,Trade Tariffs Announcement,Neutral,ExxonMobil,Telecommunications,High,-0.1,Government spending bill is expected to stimulate the economy,"Headline: Government spending bill is expected to stimulate the economy | Key points: government, spending, bill, expected, stimulate | Sentiment: negative",General
2025-04-16,Financial services stocks rally on strong profit margins,Financial services stocks rally on strong profit margins,Economic Data Release,Positive,Apple Inc.,Construction,High,0.21666666666666667,Financial services stocks rally on strong profit margins,"Headline: Financial services stocks rally on strong profit margins | Key points: financial, services, stocks, rally, strong | Sentiment: positive",Earnings
2025-07-16,Bond yields tumble as investors seek safe havens,Bond yields tumble as investors seek safe havens,Inflation Data Release,,Tesla,Automotive,Medium,0.5,Bond yields tumble as investors seek safe havens,"Headline: Bond yields tumble as investors seek safe havens | Key points: bond, yields, tumble, investors, seek | Sentiment: positive",General
2025-02-22,E-commerce earnings report beats all analyst expectations,E-commerce earnings report beats all analyst expectations,Central Bank Meeting,Neutral,Apple Inc.,Aerospace & Defense,High,0.0,E-commerce earnings report beats all analyst expectations,"Headline: E-commerce earnings report beats all analyst expectations | Key points: commerce, earnings, report, beats, analyst | Sentiment: neutral",Earnings
2025-04-07,Government subsidy program gives a lift to the agriculture sector,Government subsidy program gives a lift to the agriculture sector,Corporate Earnings Report,Positive,Apple Inc.,Telecommunications,Medium,0.0,Government subsidy program gives a lift to the agriculture sector,"Headline: Government subsidy program gives a lift to the agriculture sector | Key points: government, subsidy, program, gives, lift | Sentiment: neutral",General
2025-02-18,UK's FTSE 100 sees a boost from favorable trade data,UK's FTSE 100 sees a boost from favorable trade data,Cryptocurrency Regulation,Neutral,ExxonMobil,Aerospace & Defense,Medium,0.0,UK's FTSE 100 sees a boost from favorable trade data,"Headline: UK's FTSE 100 sees a boost from favorable trade data | Key points: ftse, sees, boost, from, favorable | Sentiment: neutral",General
2025-02-22,Federal Reserve Chairman's speech causes market volatility,Federal Reserve Chairman's speech causes market volatility,Central Bank Meeting,Positive,Tesla,Agriculture,Low,0.0,Federal Reserve Chairman's speech causes market volatility,"Headline: Federal Reserve Chairman's speech causes market volatility | Key points: federal, reserve, chairman, speech, causes | Sentiment: neutral",Macro
2025-07-13,Semiconductor shortages weigh heavily on tech sector profits,Semiconductor shortages weigh heavily on tech sector profits,Market Rally,Neutral,Tesla,Pharmaceuticals,Medium,-0.2,Semiconductor shortages weigh heavily on tech sector profits,"Headline: Semiconductor shortages weigh heavily on tech sector profits | Key points: semiconductor, shortages, weigh, heavily, tech | Sentiment: negative",Earnings
2025-05-06,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Inflation Data Release,Negative,Boeing,Automotive,Low,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-07-12,Consumer confidence index reaches a decade high,Consumer confidence index reaches a decade high,Trade Tariffs Announcement,Negative,Tesla,Materials,High,0.16,Consumer confidence index reaches a decade high,"Headline: Consumer confidence index reaches a decade high | Key points: consumer, confidence, index, reaches, decade | Sentiment: positive",General
2025-08-09,New regulations on cryptocurrencies cause a market dip,New regulations on cryptocurrencies cause a market dip,Geopolitical Event,Negative,Tesla,Automotive,Low,0.13636363636363635,New regulations on cryptocurrencies cause a market dip,"Headline: New regulations on cryptocurrencies cause a market dip | Key points: regulations, cryptocurrencies, cause, market | Sentiment: positive",General
2025-07-20,Central bank maintains status quo on interest rates,Central bank maintains status quo on interest rates,Consumer Confidence Report,Negative,Microsoft,Real Estate,High,0.0,Central bank maintains status quo on interest rates,"Headline: Central bank maintains status quo on interest rates | Key points: central, bank, maintains, status, interest | Sentiment: neutral",Macro
2025-07-29,Massive stock buyback program announced by a consumer goods company,Massive stock buyback program announced by a consumer goods company,Consumer Confidence Report,Negative,Apple Inc.,Finance,Medium,0.0,Massive stock buyback program announced by a consumer goods company,"Headline: Massive stock buyback program announced by a consumer goods company | Key points: massive, stock, buyback, program, announced | Sentiment: neutral",General
2025-08-07,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Major technology firm acquires a smaller rival in a multi-billion dollar deal,Commodity Price Shock,Neutral,JP Morgan Chase,Construction,Low,-0.04583333333333334,Major technology firm acquires a smaller rival in a multi-billion dollar deal,"Headline: Major technology firm acquires a smaller rival in a multi-billion dollar deal | Key points: major, technology, firm, acquires, smaller | Sentiment: negative",Innovation
2025-06-22,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Interest Rate Change,Positive,Boeing,Industrials,High,0.06818181818181818,Tech Giant's New Product Launch Sparks Sector-Wide Gains,"Headline: Tech Giant's New Product Launch Sparks Sector-Wide Gains | Key points: tech, giant, product, launch, sparks | Sentiment: positive",Innovation
2025-05-11,"Global trade talks collapse, causing market turmoil","Global trade talks collapse, causing market turmoil",Trade Tariffs Announcement,Neutral,Microsoft,Utilities,Low,0.0,"Global trade talks collapse, causing market turmoil","Headline: Global trade talks collapse, causing market turmoil | Key points: global, trade, talks, collapse, causing | Sentiment: neutral",General
2025-07-07,Financial services stocks rally on strong profit margins,Financial services stocks rally on strong profit margins,Economic Data Release,Negative,Samsung Electronics,Finance,High,0.21666666666666667,Financial services stocks rally on strong profit margins,"Headline: Financial services stocks rally on strong profit margins | Key points: financial, services, stocks, rally, strong | Sentiment: positive",Earnings
2025-04-08,Consumer Discretionary stocks outperform as spending increases,Consumer Discretionary stocks outperform as spending increases,Corporate Earnings Report,Negative,Reliance Industries,Utilities,High,0.0,Consumer Discretionary stocks outperform as spending increases,"Headline: Consumer Discretionary stocks outperform as spending increases | Key points: consumer, discretionary, stocks, outperform, spending | Sentiment: neutral",General
2025-04-29,Financial sector bracing for new capital requirements,Financial sector bracing for new capital requirements,Consumer Confidence Report,Negative,Samsung Electronics,Healthcare,Medium,0.06818181818181818,Financial sector bracing for new capital requirements,"Headline: Financial sector bracing for new capital requirements | Key points: financial, sector, bracing, capital, requirements | Sentiment: positive",General
2025-08-06,New IPO for a popular software firm is oversubscribed,New IPO for a popular software firm is oversubscribed,Consumer Confidence Report,Neutral,Tesla,Aerospace & Defense,Medium,0.1787878787878788,New IPO for a popular software firm is oversubscribed,"Headline: New IPO for a popular software firm is oversubscribed | Key points: popular, software, firm, oversubscribed | Sentiment: positive",General
2025-07-10,New housing data release shows a slowdown in market activity,New housing data release shows a slowdown in market activity,Corporate Earnings Report,Neutral,Samsung Electronics,Automotive,Medium,0.13636363636363635,New housing data release shows a slowdown in market activity,"Headline: New housing data release shows a slowdown in market activity | Key points: housing, data, release, shows, slowdown | Sentiment: positive",General
2025-03-08,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Regulatory Changes,Negative,JP Morgan Chase,Utilities,High,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-03-17,Major oil spill sends energy stocks plummeting,Major oil spill sends energy stocks plummeting,Geopolitical Event,,Tesla,Utilities,High,0.0625,Major oil spill sends energy stocks plummeting,"Headline: Major oil spill sends energy stocks plummeting | Key points: major, spill, sends, energy, stocks | Sentiment: positive",General
2025-07-28,Banking stocks dip after a major scandal is revealed,Banking stocks dip after a major scandal is revealed,Regulatory Changes,Neutral,Goldman Sachs,Telecommunications,Low,0.0625,Banking stocks dip after a major scandal is revealed,"Headline: Banking stocks dip after a major scandal is revealed | Key points: banking, stocks, after, major, scandal | Sentiment: positive",Macro
2025-05-05,New regulations on cryptocurrencies cause a market dip,New regulations on cryptocurrencies cause a market dip,Geopolitical Event,Neutral,Goldman Sachs,Automotive,Medium,0.13636363636363635,New regulations on cryptocurrencies cause a market dip,"Headline: New regulations on cryptocurrencies cause a market dip | Key points: regulations, cryptocurrencies, cause, market | Sentiment: positive",General
2025-05-07,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Major Merger/Acquisition,Negative,Apple Inc.,Utilities,Low,0.06818181818181818,Tech Giant's New Product Launch Sparks Sector-Wide Gains,"Headline: Tech Giant's New Product Launch Sparks Sector-Wide Gains | Key points: tech, giant, product, launch, sparks | Sentiment: positive",Innovation
2025-05-18,nan,nan,Central Bank Meeting,Negative,Boeing,Utilities,High,0.0,nan,Headline: nan | Key points:  | Sentiment: neutral,General
2025-03-21,Dow Jones plunges as market fears recession,Dow Jones plunges as market fears recession,Trade Tariffs Announcement,Neutral,Samsung Electronics,Agriculture,Low,0.0,Dow Jones plunges as market fears recession,"Headline: Dow Jones plunges as market fears recession | Key points: jones, plunges, market, fears, recession | Sentiment: neutral",General
2025-05-02,Crude oil prices drop to a multi-year low,Crude oil prices drop to a multi-year low,IPO Launch,Positive,Tesla,Transportation,High,-0.35,Crude oil prices drop to a multi-year low,"Headline: Crude oil prices drop to a multi-year low | Key points: crude, prices, drop, multi, year | Sentiment: negative",General
2025-06-26,ASX 200 gains on strong export performance,ASX 200 gains on strong export performance,Government Policy Announcement,Positive,Microsoft,Utilities,Medium,0.43333333333333335,ASX 200 gains on strong export performance,"Headline: ASX 200 gains on strong export performance | Key points: gains, strong, export, performance | Sentiment: positive",Innovation
2025-07-21,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Tech Giant's New Product Launch Sparks Sector-Wide Gains,Consumer Confidence Report,Positive,Tesla,Real Estate,Medium,0.06818181818181818,Tech Giant's New Product Launch Sparks Sector-Wide Gains,"Headline: Tech Giant's New Product Launch Sparks Sector-Wide Gains | Key points: tech, giant, product, launch, sparks | Sentiment: positive",Innovation
2025-06-19,UK's FTSE 100 sees a boost from favorable trade data,UK's FTSE 100 sees a boost from favorable trade data,Regulatory Changes,Negative,Boeing,Construction,High,0.0,UK's FTSE 100 sees a boost from favorable trade data,"Headline: UK's FTSE 100 sees a boost from favorable trade data | Key points: ftse, sees, boost, from, favorable | Sentiment: neutral",General
2025-07-17,Major oil spill sends energy stocks plummeting,Major oil spill sends energy stocks plummeting,Trade Tariffs Announcement,Negative,JP Morgan Chase,Consumer Goods,Medium,0.0625,Major oil spill sends energy stocks plummeting,"Headline: Major oil spill sends energy stocks plummeting | Key points: major, spill, sends, energy, stocks | Sentiment: positive",General
2025-02-04,Utilities sector remains stable during market fluctuations,Utilities sector remains stable during market fluctuations,Unemployment Rate Announcement,Positive,Apple Inc.,Retail,Low,0.0,Utilities sector remains stable during market fluctuations,"Headline: Utilities sector remains stable during market fluctuations | Key points: utilities, sector, remains, stable, during | Sentiment: neutral",Innovation
2025-07-20,Automotive industry faces headwinds from rising material costs,Automotive industry faces headwinds from rising material costs,Supply Chain Disruption,Negative,Reliance Industries,Telecommunications,High,0.0,Automotive industry faces headwinds from rising material costs,"Headline: Automotive industry faces headwinds from rising material costs | Key points: automotive, industry, faces, headwinds, from | Sentiment: neutral",General
2025-08-06,Merger talks between two banks fall through,Merger talks between two banks fall through,Geopolitical Event,,Microsoft,Materials,Medium,0.0,Merger talks between two banks fall through,"Headline: Merger talks between two banks fall through | Key points: merger, talks, between, banks, fall | Sentiment: neutral",M&A
2025-05-07,New housing data release shows a slowdown in market activity,New housing data release shows a slowdown in market activity,Government Policy Announcement,Negative,Reliance Industries,Consumer Goods,Low,0.13636363636363635,New housing data release shows a slowdown in market activity,"Headline: New housing data release shows a slowdown in market activity | Key points: housing, data, release, shows, slowdown | Sentiment: positive",General
2025-02-09,Financial services stocks rally on strong profit margins,Financial services stocks rally on strong profit margins,Bond Market Fluctuation,Neutral,Samsung Electronics,Pharmaceuticals,High,0.21666666666666667,Financial services stocks rally on strong profit margins,"Headline: Financial services stocks rally on strong profit margins | Key points: financial, services, stocks, rally, strong | Sentiment: positive",Earnings
2025-06-24,Media and Entertainment companies report a surge in streaming revenue,Media and Entertainment companies report a surge in streaming revenue,Inflation Data Release,Positive,Microsoft,Aerospace & Defense,High,0.0,Media and Entertainment companies report a surge in streaming revenue,"Headline: Media and Entertainment companies report a surge in streaming revenue | Key points: media, entertainment, companies, report, surge | Sentiment: neutral",Earnings
2025-02-25,Media and Entertainment companies report a surge in streaming revenue,Media and Entertainment companies report a surge in streaming revenue,Currency Devaluation,Neutral,Samsung Electronics,Automotive,Low,0.0,Media and Entertainment companies report a surge in streaming revenue,"Headline: Media and Entertainment companies report a surge in streaming revenue | Key points: media, entertainment, companies, report, surge | Sentiment: neutral",Earnings
2025-05-07,Record-high inflation data rattles investors,Record-high inflation data rattles investors,Geopolitical Event,Neutral,Reliance Industries,Construction,High,0.0,Record-high inflation data rattles investors,"Headline: Record-high inflation data rattles investors | Key points: record, high, inflation, data, rattles | Sentiment: neutral",Macro
2025-08-12,A massive data breach sends a tech company's stock tumbling,A massive data breach sends a tech company's stock tumbling,Market Rally,Neutral,Apple Inc.,Utilities,Low,0.0,A massive data breach sends a tech company's stock tumbling,"Headline: A massive data breach sends a tech company's stock tumbling | Key points: massive, data, breach, sends, tech | Sentiment: neutral",Innovation
2025-07-08,Automotive industry faces headwinds from rising material costs,Automotive industry faces headwinds from rising material costs,Interest Rate Change,Positive,Tata Motors,Transportation,High,0.0,Automotive industry faces headwinds from rising material costs,"Headline: Automotive industry faces headwinds from rising material costs | Key points: automotive, industry, faces, headwinds, from | Sentiment: neutral",General
2025-07-25,A massive data breach sends a tech company's stock tumbling,A massive data breach sends a tech company's stock tumbling,Central Bank Meeting,Neutral,Microsoft,Industrials,Low,0.0,A massive data breach sends a tech company's stock tumbling,"Headline: A massive data breach sends a tech company's stock tumbling | Key points: massive, data, breach, sends, tech | Sentiment: neutral",Innovation
2025-05-19,Geopolitical ceasefire prompts a broad market recovery,Geopolitical ceasefire prompts a broad market recovery,Economic Data Release,Positive,Apple Inc.,Retail,Medium,0.0625,Geopolitical ceasefire prompts a broad market recovery,"Headline: Geopolitical ceasefire prompts a broad market recovery | Key points: geopolitical, ceasefire, prompts, broad, market | Sentiment: positive",General
2025-06-03,Merger talks between two banks fall through,Merger talks between two banks fall through,Bond Market Fluctuation,Positive,Tesla,Technology,High,0.0,Merger talks between two banks fall through,"Headline: Merger talks between two banks fall through | Key points: merger, talks, between, banks, fall | Sentiment: neutral",M&A
